iter	Passed	Remaining
1032	8086	31052
1033	8092	31040
1034	8099	31027
1035	8106	31018
1036	8114	31008
1037	8121	30997
1038	8129	30994
1039	8137	30983
1040	8144	30975
1041	8151	30964
1042	8158	30953
1043	8166	30943
1044	8173	30933
1045	8180	30922
1046	8186	30909
1047	8194	30900
1048	8200	30887
1049	8207	30874
1050	8213	30860
1051	8218	30844
1052	8226	30835
1053	8233	30824
1054	8240	30814
1055	8247	30802
1056	8254	30790
1057	8261	30782
1058	8266	30764
1059	8274	30755
1060	8280	30741
1061	8287	30732
1062	8295	30722
1063	8301	30709
1064	8308	30696
1065	8314	30682
1066	8320	30669
1067	8327	30658
1068	8333	30644
1069	8340	30635
1070	8347	30622
1071	8354	30611
1072	8362	30604
1073	8370	30598
1074	8377	30588
1075	8386	30582
1076	8393	30575
1077	8402	30571
1078	8411	30566
1079	8418	30555
1080	8425	30546
1081	8432	30534
1082	8440	30526
1083	8447	30517
1084	8454	30507
1085	8462	30500
1086	8469	30490
1087	8478	30483
1088	8485	30475
1089	8493	30466
1090	8501	30460
1091	8508	30451
1092	8516	30441
1093	8523	30432
1094	8530	30422
1095	8536	30407
1096	8542	30392
1097	8549	30383
1098	8557	30375
1099	8564	30366
1100	8572	30356
1101	8578	30345
1102	8586	30337
1103	8594	30330
1104	8602	30322
1105	8609	30313
1106	8618	30307
1107	8624	30295
1108	8631	30282
1109	8638	30272
1110	8645	30261
1111	8653	30254
1112	8660	30246
1113	8668	30237
1114	8675	30226
1115	8683	30222
1116	8691	30214
1117	8698	30205
1118	8705	30192
1119	8713	30185
1120	8720	30176
1121	8729	30170
1122	8735	30159
1123	8743	30150
1124	8750	30141
1125	8758	30132
1126	8765	30124
1127	8772	30113
1128	8779	30102
1129	8787	30094
1130	8794	30086
1131	8801	30074
1132	8808	30064
1133	8817	30061
1134	8825	30052
1135	8832	30042
1136	8840	30036
1137	8848	30028
1138	8856	30020
1139	8864	30013
1140	8871	30005
1141	8878	29994
1142	8886	29987
1143	8895	29981
1144	8902	29971
1145	8911	29968
1146	8918	29960
1147	8926	29952
1148	8934	29943
1149	8941	29933
1150	8948	29924
1151	8956	29917
1152	8963	29906
1153	8970	29895
1154	8977	29886
1155	8984	29875
1156	8991	29865
1157	8998	29856
1158	9006	29849
1159	9013	29836
1160	9020	29825
1161	9026	29814
1162	9033	29804
1163	9039	29791
1164	9046	29778
1165	9053	29769
1166	9060	29758
1167	9067	29747
1168	9072	29732
1169	9079	29720
